"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"GQVJB5AZ","webpage","2020","Tanner, Gilbert","Live Object Detection","Medium","","","","https://towardsdatascience.com/live-object-detection-26cd50cceffd","Live Object Detection using the Tensorflow Object Detection API","2020-07-28","2021-12-23 16:12:04","2021-12-23 16:12:04","2021-12-23 16:12:04","","","","","","","","","","","","","","en","","","","","","","","","/Users/julienvanbelle/Zotero/storage/MDZYQZA2/live-object-detection-26cd50cceffd.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ELGCPNWS","webpage","","","PyImageSearch - You can master Computer Vision, Deep Learning, and OpenCV.","PyImageSearch","","","","https://www.pyimagesearch.com/","Helping developers, students, and researchers master Computer Vision, Deep Learning, and OpenCV.","","2021-12-23 16:51:38","2021-12-23 16:51:38","2021-12-23 16:51:38","","","","","","","","","","","","","","en-US","","","","","","","","","/Users/julienvanbelle/Zotero/storage/HACBXHQK/www.pyimagesearch.com.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"338EY7LJ","webpage","2021","Agnihotri, Akash","Implementing Real-time Object Detection System using PyTorch and OpenCV","Medium","","","","https://towardsdatascience.com/implementing-real-time-object-detection-system-using-pytorch-and-opencv-70bac41148f7","Hands-On Guide to implement real-time object detection system using python","2021-06-18","2021-12-23 19:01:57","2021-12-23 19:01:57","2021-12-23 19:01:57","","","","","","","","","","","","","","en","","","","","","","","","/Users/julienvanbelle/Zotero/storage/HQ2GZ2UF/implementing-real-time-object-detection-system-using-pytorch-and-opencv-70bac41148f7.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JL6FRN7S","journalArticle","","Nowak, Eric","Reconnaissance de catégories d'objets et d'instances d'objets à l'aide de représentations locales","","","","","","","","2021-12-27 11:25:19","2021-12-27 11:25:19","","186","","","","","","","","","","","","","","","","","","Zotero","","","","/Users/julienvanbelle/Zotero/storage/3S6DWS8H/Nowak - Reconnaissance de catégories d'objets et d'instanc.pdf","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"J2VIHJ67","blogPost","2018","","Comment fonctionne la reconnaissance d'image ? - Deepomatic - Visual Automation Platform","Deepomatic","","","","https://deepomatic.com/fr/comment-fonctionne-la-reconnaissance-dimage","COMMENT FONCTIONNE LA RECONNAISSANCE D’IMAGE ET COMMENT L’UTILISER ?  La reconnaissance d’images fait référence aux technologies qui identifient les lieux, les logos, les personnes, les objets, les bâtiments et plusieurs autres variables dans des images. Les utilisateurs partagent de grandes quantités de données par le biais d’applications, des réseaux sociaux et des sites Web. De […]","2018-05-28","2021-12-27 11:27:05","2021-12-27 11:27:05","2021-12-27 11:27:05","","","","","","","Comment fonctionne la reconnaissance d'image ?","","","","","","","fr-FR","","","","","","","","","/Users/julienvanbelle/Zotero/storage/BP8JFFN2/comment-fonctionne-la-reconnaissance-dimage.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RFCJ92Y8","webpage","2020","DataGenius","Reconnaissance d'image : Quelle solution choisir ?","datagenius","","","","https://www.datagenius.fr/post/reconnaissance-d-image-intelligence-artificielle-ai-compare","Quelle solution de reconnaissance d'image choisir ? Intelligence Artificiel, test et comparatif avec AI-Compare","2020-02-17","2021-12-27 11:28:20","2021-12-27 11:28:20","2021-12-27 11:28:20","","","","","","","Reconnaissance d'image","","","","","","","fr","","","","","","","","","/Users/julienvanbelle/Zotero/storage/25WGUFDK/reconnaissance-d-image-intelligence-artificielle-ai-compare.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JEPWEVR9","blogPost","2021","Cochard, David","YOLOv5 : The Latest Model for Object Detection","axinc-ai","","","","https://medium.com/axinc-ai/yolov5-the-latest-model-for-object-detection-b13320ec516b","This is an introduction to「YOLOv5」, a machine learning model that can be used with ailia SDK. You can easily use this model to create AI…","2021-05-26","2021-12-27 11:39:53","2021-12-27 11:39:53","2021-12-27 11:39:53","","","","","","","YOLOv5","","","","","","","en","","","","","","","","","/Users/julienvanbelle/Zotero/storage/SCREA73Z/yolov5-the-latest-model-for-object-detection-b13320ec516b.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z6UA6MCQ","blogPost","2021","","Object Detection in 2021: The Definitive Guide","viso.ai","","","","https://viso.ai/deep-learning/object-detection/","Complete overview of Object Detection in 2021. Introduction to the most popular Computer Vision and Deep Learning Object Detection Algorithms.","2021-07-09","2021-12-27 19:25:01","2021-12-27 19:25:01","2021-12-27 19:25:01","","","","","","","Object Detection in 2021","","","","","","","en-US","","","","","","","","","/Users/julienvanbelle/Zotero/storage/BWXAAAYR/object-detection.html","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5SDJJV8B","blogPost","2021","","YOLOv3: Real-Time Object Detection Algorithm (What's New?)","viso.ai","","","","https://viso.ai/deep-learning/yolov3-overview/","What is YOLOv3, and how does it work? Learn how fast it really is and why it is so popular for real-time object detection.","2021-02-25","2021-12-27 19:34:40","2021-12-27 19:34:40","2021-12-27 19:34:40","","","","","","","YOLOv3","","","","","","","en-US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JVSJKINR","blogPost","2021","","ANN and CNN: Analyzing Differences and Similarities","viso.ai","","","","https://viso.ai/deep-learning/ann-and-cnn-analyzing-differences-and-similarities/","Easy to understand guide about differences between ANN vs. CNN. Their characteristics and why it's important to use them for the right task.","2021-02-01","2021-12-27 19:36:25","2021-12-27 19:36:25","2021-12-27 19:36:25","","","","","","","ANN and CNN","","","","","","","en-US","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
